class_label,feature,weight
1,worst,8.486290925886003
1,horrible,5.4614046414946245
1,terrible,5.438091664982445
1,rude,5.309500278775251
1,awful,4.655643994647034
1,money,4.419622676007559
1,zero,3.5866789563799757
1,told,3.492493343085776
1,disgusting,3.2435729458520015
1,dirty,3.1518960959505624
2,mediocre,3.8777312952892826
2,bland,3.8352396095143866
2,meh,3.650960025563575
2,ok,3.635677136849385
2,unfortunately,3.282289952370614
2,won,3.1977886063198424
2,disappointing,3.1127174536636737
2,disappointed,3.013618682354093
2,okay,2.910748234567469
2,dry,2.8103366705010133
3,ok,5.41153444064157
3,decent,4.649379403722164
3,good,4.187959393759122
3,okay,3.847515860043682
3,stars,3.5480293752143655
3,average,3.4128127475339305
3,bit,3.299970043076707
3,pretty,3.0942997619837
3,little,3.041458415735142
3,alright,2.672010605759525
4,great,6.048546213243294
4,delicious,4.912439291721413
4,excellent,4.071825308920804
4,good,3.93925923577926
4,enjoyed,3.687769465447547
4,definitely,3.408655394799334
4,little,3.2243886965333792
4,bit,3.2010468318301575
4,awesome,3.1783983170573844
4,friendly,3.0253339025059205
5,amazing,7.801903735192313
5,best,7.066618471585255
5,delicious,6.924752739474288
5,great,5.951142460750721
5,awesome,5.469381506616933
5,love,5.023271347154046
5,excellent,4.930111605836709
5,perfect,4.867877269647493
5,favorite,4.863245566973146
5,fantastic,4.680843036992171
